Date,Day,Month,MonthShort,MonthNO,Quarter,Year
2020-04-01,Wednesday,April,Apr,4,2,2020
2020-04-02,Thursday,April,Apr,4,2,2020
2020-04-03,Friday,April,Apr,4,2,2020
2020-04-04,Saturday,April,Apr,4,2,2020
2020-04-05,Sunday,April,Apr,4,2,2020
2020-04-06,Monday,April,Apr,4,2,2020
2020-04-07,Tuesday,April,Apr,4,2,2020
2020-04-08,Wednesday,April,Apr,4,2,2020
2020-04-09,Thursday,April,Apr,4,2,2020
2020-04-10,Friday,April,Apr,4,2,2020
2020-04-11,Saturday,April,Apr,4,2,2020
2020-04-12,Sunday,April,Apr,4,2,2020
2020-04-13,Monday,April,Apr,4,2,2020
2020-04-14,Tuesday,April,Apr,4,2,2020
2020-04-15,Wednesday,April,Apr,4,2,2020
2020-04-16,Thursday,April,Apr,4,2,2020
2020-04-17,Friday,April,Apr,4,2,2020
2020-04-18,Saturday,April,Apr,4,2,2020
2020-04-19,Sunday,April,Apr,4,2,2020
2020-04-20,Monday,April,Apr,4,2,2020
2020-04-21,Tuesday,April,Apr,4,2,2020
2020-04-22,Wednesday,April,Apr,4,2,2020
2020-04-23,Thursday,April,Apr,4,2,2020
2020-04-24,Friday,April,Apr,4,2,2020
2020-04-25,Saturday,April,Apr,4,2,2020
2020-04-26,Sunday,April,Apr,4,2,2020
2020-04-27,Monday,April,Apr,4,2,2020
2020-04-28,Tuesday,April,Apr,4,2,2020
2020-04-29,Wednesday,April,Apr,4,2,2020
2020-04-30,Thursday,April,Apr,4,2,2020
2020-05-01,Friday,May,May,5,2,2020
2020-05-02,Saturday,May,May,5,2,2020
2020-05-03,Sunday,May,May,5,2,2020
2020-05-04,Monday,May,May,5,2,2020
2020-05-05,Tuesday,May,May,5,2,2020
2020-05-06,Wednesday,May,May,5,2,2020
2020-05-07,Thursday,May,May,5,2,2020
2020-05-08,Friday,May,May,5,2,2020
2020-05-09,Saturday,May,May,5,2,2020
2020-05-10,Sunday,May,May,5,2,2020
2020-05-11,Monday,May,May,5,2,2020
2020-05-12,Tuesday,May,May,5,2,2020
2020-05-13,Wednesday,May,May,5,2,2020
2020-05-14,Thursday,May,May,5,2,2020
2020-05-15,Friday,May,May,5,2,2020
2020-05-16,Saturday,May,May,5,2,2020
2020-05-17,Sunday,May,May,5,2,2020
2020-05-18,Monday,May,May,5,2,2020
2020-05-19,Tuesday,May,May,5,2,2020
2020-05-20,Wednesday,May,May,5,2,2020
2020-05-21,Thursday,May,May,5,2,2020
2020-05-22,Friday,May,May,5,2,2020
2020-05-23,Saturday,May,May,5,2,2020
2020-05-24,Sunday,May,May,5,2,2020
2020-05-25,Monday,May,May,5,2,2020
2020-05-26,Tuesday,May,May,5,2,2020
2020-05-27,Wednesday,May,May,5,2,2020
2020-05-28,Thursday,May,May,5,2,2020
2020-05-29,Friday,May,May,5,2,2020
2020-05-30,Saturday,May,May,5,2,2020
2020-05-31,Sunday,May,May,5,2,2020
2020-06-01,Monday,June,Jun,6,2,2020
2020-06-02,Tuesday,June,Jun,6,2,2020
2020-06-03,Wednesday,June,Jun,6,2,2020
2020-06-04,Thursday,June,Jun,6,2,2020
2020-06-05,Friday,June,Jun,6,2,2020
2020-06-06,Saturday,June,Jun,6,2,2020
2020-06-07,Sunday,June,Jun,6,2,2020
2020-06-08,Monday,June,Jun,6,2,2020
2020-06-09,Tuesday,June,Jun,6,2,2020
2020-06-10,Wednesday,June,Jun,6,2,2020
2020-06-11,Thursday,June,Jun,6,2,2020
2020-06-12,Friday,June,Jun,6,2,2020
2020-06-13,Saturday,June,Jun,6,2,2020
2020-06-14,Sunday,June,Jun,6,2,2020
2020-06-15,Monday,June,Jun,6,2,2020
2020-06-16,Tuesday,June,Jun,6,2,2020
2020-06-17,Wednesday,June,Jun,6,2,2020
2020-06-18,Thursday,June,Jun,6,2,2020
2020-06-19,Friday,June,Jun,6,2,2020
2020-06-20,Saturday,June,Jun,6,2,2020
2020-06-21,Sunday,June,Jun,6,2,2020
2020-06-22,Monday,June,Jun,6,2,2020
2020-06-23,Tuesday,June,Jun,6,2,2020
2020-06-24,Wednesday,June,Jun,6,2,2020
2020-06-25,Thursday,June,Jun,6,2,2020
2020-06-26,Friday,June,Jun,6,2,2020
2020-06-27,Saturday,June,Jun,6,2,2020
2020-06-28,Sunday,June,Jun,6,2,2020
2020-06-29,Monday,June,Jun,6,2,2020
2020-06-30,Tuesday,June,Jun,6,2,2020
2020-07-01,Wednesday,July,Jul,7,3,2020
2020-07-02,Thursday,July,Jul,7,3,2020
2020-07-03,Friday,July,Jul,7,3,2020
2020-07-04,Saturday,July,Jul,7,3,2020
2020-07-05,Sunday,July,Jul,7,3,2020
2020-07-06,Monday,July,Jul,7,3,2020
2020-07-07,Tuesday,July,Jul,7,3,2020
2020-07-08,Wednesday,July,Jul,7,3,2020
2020-07-09,Thursday,July,Jul,7,3,2020
